Entity ID,Name,Identifier,Type,Browser Link
CE2tPRSFpZJwUAdpAZkd1k,"Deed 2025035356","2025035356","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/CE2tPRSFpZJwUAdpAZkd1k
PqxHdvtzw8C1feFpNcN3Dg,"Deed 2025035363","2025035363","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/PqxHdvtzw8C1feFpNcN3Dg
RibuKtmDfeNku4fwS7sjgm,"Deed 2025035367","2025035367","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/RibuKtmDfeNku4fwS7sjgm
Wr2W2npfDgjWXd9BRkVV18,"Deed 2025035368","2025035368","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/Wr2W2npfDgjWXd9BRkVV18
Vim2LNdNizbRW3moViwHeb,"Deed 2025035369","2025035369","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/Vim2LNdNizbRW3moViwHeb
8bwTCJzgmiMjSYE6NwfAKZ,"Deed 2025035383","2025035383","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/8bwTCJzgmiMjSYE6NwfAKZ
FyDqMZk5dANGaaJ5sgxPeF,"Deed 2025035390","2025035390","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/FyDqMZk5dANGaaJ5sgxPeF
7g4dipszdiRDt4bsYeVEJA,"Deed 2025035391","2025035391","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/7g4dipszdiRDt4bsYeVEJA
2y3k2Z3xY2VosUpGVJfxU1,"Deed 2025035398","2025035398","Deed",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/P77ioa8U9EipVASzVHBA9B/2y3k2Z3xY2VosUpGVJfxU1
AM2Hi96JDzxuxrcjBVPWtk,"Permit BR-DMO-25-00104","BR-DMO-25-00104","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/AM2Hi96JDzxuxrcjBVPWtk
Tk2TLvxj5GtEbV7vVNrx1N,"Permit BC-ELE-25-00045","BC-ELE-25-00045","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Tk2TLvxj5GtEbV7vVNrx1N
LK6wzjrvGJVjex45bXyMTD,"Permit EBP-25-02988","EBP-25-02988","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LK6wzjrvGJVjex45bXyMTD
HkkxEbhCBTqU1VGnV5R7JC,"Permit 25TMP-011454","25TMP-011454","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/HkkxEbhCBTqU1VGnV5R7JC
Y3fdGQw6kXnEKTXAjFCwnm,"Permit EBP-25-02793","EBP-25-02793","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y3fdGQw6kXnEKTXAjFCwnm
LmDNEMdLE1jwpKVtU3NQcJ,"Permit BR-PLB-25-00053","BR-PLB-25-00053","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LmDNEMdLE1jwpKVtU3NQcJ
RZByHuuGmDFXbtyNizH2Gt,"Permit BR-ELE-25-00132","BR-ELE-25-00132","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RZByHuuGmDFXbtyNizH2Gt
Y1TS4rBUY5Cg2SasK1o3g7,"Permit BR-SFR-24-00209.001","BR-SFR-24-00209.001","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y1TS4rBUY5Cg2SasK1o3g7
XrDuCGpVtBXEX7jE4YqQEc,"Permit BC-DMO-25-00005","BC-DMO-25-00005","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XrDuCGpVtBXEX7jE4YqQEc
6Cd8uVKtsEmquNdwpojkqS,"Permit EBP-25-02511","EBP-25-02511","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/6Cd8uVKtsEmquNdwpojkqS
Npopmgjem8p6FrPrGytmVq,"Permit BR-SOL-24-00780.001","BR-SOL-24-00780.001","Permit",https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Npopmgjem8p6FrPrGytmVq
