Date,Record Type,Record Number,Status,Address,Description,Entity ID,Entity URL,Record Type Entity ID,Record Type URL,Status Entity ID,Status URL
02/13/2025,"Residential Demolition","BR-DMO-25-00104","Awaiting Plans","10636 GANDY BLVD, 43, ST PETERSBURG 33702","Demolition of destroyed trailer home due to the storm","SppHWUzX46N63r7wgptkX9","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/SppHWUzX46N63r7wgptkX9","7hKdba2fcE1FXK8vtXuTrY","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7hKdba2fcE1FXK8vtXuTrY","CNNYkcvAHHd2L1jw3UxJJw","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/CNNYkcvAHHd2L1jw3UxJJw"
02/11/2025,"Commercial Electrical","BC-ELE-25-00045","Incomplete Submittal","10596 GANDY BLVD, ST PETERSBURG FL 33702","Fire Alarm Panel Relocate","SjUJ6fg7ooVRWMRT3c1hJk","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/SjUJ6fg7ooVRWMRT3c1hJk","6fhqHkJEmeCpbvHrJfoh6K","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/6fhqHkJEmeCpbvHrJfoh6K","3eAS7siveUD9CAmiwfEV77","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/3eAS7siveUD9CAmiwfEV77"
02/11/2025,"Express Building Permit","EBP-25-02988","Issued","6443 26TH WAY N, ST PETERSBURG FL 33702","Reroof 21sq. with Owens Corning shingles FL10674.1 R20 and Owens Corning Underlayment FL15216.1 R13. Reroof 4sq. flat roof with CertainTeed Modified FL2533.1 R32","AeyF6sKnP7HnRr1JH7tz7Z","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/AeyF6sKnP7HnRr1JH7tz7Z","XA2Wu63g5wHBmXHwRNaWp4","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XA2Wu63g5wHBmXHwRNaWp4","7ZnvYZzdsx1HWtggfEHhg7","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7ZnvYZzdsx1HWtggfEHhg7"
02/07/2025,"Express Building Permit","25TMP-011454","N/A","6599 31ST ST N, ST PETERSBURG FL 33702","Disconnect old service meter, provide a new 150 amp meter main service box, and add 1 GFCI receptacle for temp power. New meter and service will be permanent after temp power.","8kjbwMUxT4GwBmHyhuA2du","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/8kjbwMUxT4GwBmHyhuA2du","XA2Wu63g5wHBmXHwRNaWp4","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XA2Wu63g5wHBmXHwRNaWp4","F2QQhQ8cbow3JU4kt5dnsR","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/F2QQhQ8cbow3JU4kt5dnsR"
02/07/2025,"Express Building Permit","EBP-25-02793","Issued","6563 28TH ST N, ST PETERSBURG FL 33702","Remove old roofing system and install Atlas Shingle roofing system (30sq with 4/12 pitch). PPI - Nobility Inspections","S3ymCUywTr8UAoan7rtxpW","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/S3ymCUywTr8UAoan7rtxpW","XA2Wu63g5wHBmXHwRNaWp4","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XA2Wu63g5wHBmXHwRNaWp4","7ZnvYZzdsx1HWtggfEHhg7","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7ZnvYZzdsx1HWtggfEHhg7"
02/06/2025,"Residential Plumbing","BR-PLB-25-00053","Awaiting Plans","3231 66TH AVE N, ST PETERSBURG FL 33702","Replace 40-gallon water heater","JmMJRTB74r3h7Ej7RRVYdM","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/JmMJRTB74r3h7Ej7RRVYdM","6jL1kFh14am4612MHcDDNp","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/6jL1kFh14am4612MHcDDNp","CNNYkcvAHHd2L1jw3UxJJw","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/CNNYkcvAHHd2L1jw3UxJJw"
02/05/2025,"Residential Electrical","BR-ELE-25-00132","Closed - Withdrawn","6599 31ST ST N, ST PETERSBURG FL 33702","Add a 150 amp meter main/tug box disconnect on side of house for temp service. Will be a permanent system after temp use.","3xKvS2jghfbdfXk2RdbhUj","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/3xKvS2jghfbdfXk2RdbhUj","9DJwewxiTFybeBgnHdHA2a","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/9DJwewxiTFybeBgnHdHA2a","TL2bPYDkdwwF9trgQ3WvX4","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/TL2bPYDkdwwF9trgQ3WvX4"
02/05/2025,"Residential Revision-Supplement","BR-SFR-24-00209.001","Closed - Supp-Rev Approved","6485 31ST ST N, ST PETERSBURG FL 33702","Shifting the house 4' to the North to allow for more room between the new build and the adjacent home.","SmoFJEu4pLunvHo96vTbpZ","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/SmoFJEu4pLunvHo96vTbpZ","NWjFw3imq5qXELevbiagmr","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/NWjFw3imq5qXELevbiagmr","VQFDX9tjZoV8e4TVgd2qYx","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/VQFDX9tjZoV8e4TVgd2qYx"
02/04/2025,"Commercial Demolition","BC-DMO-25-00005","Awaiting Plans","10490 GANDY BLVD, ST PETERSBURG FL 33702","Full commercial building demolition","LWcMNJKXsKV8ztVb7iosJR","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LWcMNJKXsKV8ztVb7iosJR","X8ERXRd3qKpaRJvEQos5Uw","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/X8ERXRd3qKpaRJvEQos5Uw","CNNYkcvAHHd2L1jw3UxJJw","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/CNNYkcvAHHd2L1jw3UxJJw"
02/04/2025,"Express Building Permit","EBP-25-02511","Submitted","10947 1ST WAY N, ST PETERSBURG FL 33702","Remove and replace 18sq of shingles","7nzbrrfpbgJVKVGfk3pa5e","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7nzbrrfpbgJVKVGfk3pa5e","XA2Wu63g5wHBmXHwRNaWp4","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XA2Wu63g5wHBmXHwRNaWp4","G44FATrgFio2PrgMA2Qj4L","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/G44FATrgFio2PrgMA2Qj4L"
