Entity ID,Entity Name,Entity Type,URL,Properties,Incoming Relations,Outgoing Relations
"Hu6vgTp3F1c9Avw6dbj4cW","Record number","Property","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Hu6vgTp3F1c9Avw6dbj4cW","","",""
"NHV5RxxUHQsLMPKyxhFJiD","Permit #BR-SOL-24-00780.001","Permit","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/NHV5RxxUHQsLMPKyxhFJiD","","",""
"BBzcWFX4Hg5CtR6MdR4NpH","Demolition of destroyed trailer home due to the storm","Permit","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BBzcWFX4Hg5CtR6MdR4NpH","","",""
"PZQKkodWQTZ3rT2wDM8tYr","Type","Entity Type","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/PZQKkodWQTZ3rT2wDM8tYr","","Record Type WJWfwXVv82ZNomkBJgEAXN (Jfmby78N4BCseZinBmdVov); Record Type Ru1ni1xBN6JwYcomEQSfVF (Jfmby78N4BCseZinBmdVov); Record Type Q5J1t9jeNJ7e4wx5cYutJ5 (Jfmby78N4BCseZinBmdVov); Record Type 8weDS1pBNPuU471a9bopUx (Jfmby78N4BCseZinBmdVov); Record Type 7yZzXj2VM9Fg2ZJSj1dxn6 (Jfmby78N4BCseZinBmdVov); Record Type F48g7BBR2NrPcaoTr7pKJo (Jfmby78N4BCseZinBmdVov); Record Type V2CG2Ap3FafoXX1GvxpuhC (Jfmby78N4BCseZinBmdVov)","VdTsW1mGiy1XSooJaBBLc4 (Jfmby78N4BCseZinBmdVov)"
"WyzdVKN3u6xQRDdcCbEFvD","Permit WyzdVKN3u6xQRDdcCbEFvD","Permit Entity","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WyzdVKN3u6xQRDdcCbEFvD","","",""
"XPDXPK263bYjSrjH19cRg9","Permit XPDXPK263bYjSrjH19cRg9","Permit Entity","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XPDXPK263bYjSrjH19cRg9","","",""
"4buJwqdf5iLUhXu3nDdMxD","Record Type 4buJwqdf5iLUhXu3nDdMxD","Record Type Entity","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/4buJwqdf5iLUhXu3nDdMxD","","",""
"BcJctDve9YqAQo4xg1PcuY","Record Type BcJctDve9YqAQo4xg1PcuY","Record Type Entity","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BcJctDve9YqAQo4xg1PcuY","","","VdTsW1mGiy1XSooJaBBLc4 (Jfmby78N4BCseZinBmdVov)"
"WJWfwXVv82ZNomkBJgEAXN","Record Type WJWfwXVv82ZNomkBJgEAXN","Record Type Entity","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WJWfwXVv82ZNomkBJgEAXN","","XnGJYNyPe58tdpNpzpGvhS (BcJctDve9YqAQo4xg1PcuY)","Type (Jfmby78N4BCseZinBmdVov)"
"Ru1ni1xBN6JwYcomEQSfVF","Record Type Ru1ni1xBN6JwYcomEQSfVF","Record Type Entity","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Ru1ni1xBN6JwYcomEQSfVF","","CNFQhRqkQ4y6qKgh41aDUf (BcJctDve9YqAQo4xg1PcuY)","Type (Jfmby78N4BCseZinBmdVov)"
