Type,Name,Entity ID,URL
Permit,Demolition of destroyed trailer home due to the storm,WyzdVKN3u6xQRDdcCbEFvD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WyzdVKN3u6xQRDdcCbEFvD
Permit,The main meter is under 200A. Need to change the meter to a main meter combo relocate breaker injection and remove the feed-through panel.,XPDXPK263bYjSrjH19cRg9,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XPDXPK263bYjSrjH19cRg9
Entity Type,Building permit,4buJwqdf5iLUhXu3nDdMxD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/4buJwqdf5iLUhXu3nDdMxD
Entity Type,Record type,PZQKkodWQTZ3rT2wDM8tYr,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/PZQKkodWQTZ3rT2wDM8tYr
Relation Type,Record type relation,BcJctDve9YqAQo4xg1PcuY,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BcJctDve9YqAQo4xg1PcuY
Record Type,Residential Demolition,WJWfwXVv82ZNomkBJgEAXN,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WJWfwXVv82ZNomkBJgEAXN
Record Type,Commercial Electrical,Ru1ni1xBN6JwYcomEQSfVF,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Ru1ni1xBN6JwYcomEQSfVF
Record Type,Express Building Permit,Q5J1t9jeNJ7e4wx5cYutJ5,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Q5J1t9jeNJ7e4wx5cYutJ5
Record Type,Residential Plumbing,8weDS1pBNPuU471a9bopUx,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/8weDS1pBNPuU471a9bopUx
Record Type,Residential Electrical,7yZzXj2VM9Fg2ZJSj1dxn6,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7yZzXj2VM9Fg2ZJSj1dxn6
Record Type,Residential Revision-Supplement,F48g7BBR2NrPcaoTr7pKJo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/F48g7BBR2NrPcaoTr7pKJo
Record Type,Commercial Demolition,V2CG2Ap3FafoXX1GvxpuhC,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/V2CG2Ap3FafoXX1GvxpuhC
Entity Type,Status,FTPrQaBHqwp9GtCN1HWHLQ,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/FTPrQaBHqwp9GtCN1HWHLQ
Relation Type,Status relation,CwafV3xAkxZAXbixruhuck,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/CwafV3xAkxZAXbixruhuck
Status,Awaiting Plans,TrbTyCwww7mxV7V5ZCv48v,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/TrbTyCwww7mxV7V5ZCv48v
Status,Incomplete Submittal,4DRWmnannepX9iHUHTG2s6,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/4DRWmnannepX9iHUHTG2s6
Status,Issued,BSWt87BvR1XmpYibZDqFyM,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/BSWt87BvR1XmpYibZDqFyM
Status,N/A,WNhSEPKdRXnEj6B1m41asS,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WNhSEPKdRXnEj6B1m41asS
Status,Closed - Withdrawn,VPVR4yC1fnmufhdDVgKyDo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/VPVR4yC1fnmufhdDVgKyDo
Status,Closed - Supp-Rev Approved,RUHmk85M4tprUKSpM2SyAB,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RUHmk85M4tprUKSpM2SyAB
Status,Submitted,X99wMeRABuBPevsR5bxZZ2,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/X99wMeRABuBPevsR5bxZZ2
Status,In Review,Uso7LbkJsGDA7xkDGKfHeP,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Uso7LbkJsGDA7xkDGKfHeP
