Address,Record Number,Record Type,Status,Project Name,Entity ID,URL
"10490 GANDY BLVD, ST PETERSBURG FL 33702","BC-DMO-25-00005","Commercial demolition","Awaiting plans","Kennel Club","XrDuCGpVtBXEX7jE4YqQEc","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XrDuCGpVtBXEX7jE4YqQEc"
"10596 GANDY BLVD, ST PETERSBURG FL 33702","BC-ELE-25-00045","Commercial electrical","Incomplete submittal","(FLAG) CS - FIRE ALARM - Goodwill Suncoast","Tk2TLvxj5GtEbV7vVNrx1N","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Tk2TLvxj5GtEbV7vVNrx1N"
"10636 GANDY BLVD, 43, ST PETERSBURG 33702","BR-DMO-25-00104","Residential demolition","Awaiting plans","Mobile Home Demolition","UsdepoWa8vGmEuC2xn4j1f","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/UsdepoWa8vGmEuC2xn4j1f"
"10947 1ST WAY N, ST PETERSBURG FL 33702","EBP-25-02511","Express building permit","Submitted","Mitchell residence","6Cd8uVKtsEmquNdwpojkqS","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/6Cd8uVKtsEmquNdwpojkqS"
"2628 65TH AVE N, ST PETERSBURG FL 33702","BR-SOL-24-00780.001","Residential revision-supplement","In review","Revision Request (BR-SOL-24-00780)","VfRjw4eaBvqiAqgA5JiPTN","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/VfRjw4eaBvqiAqgA5JiPTN"
"3231 66TH AVE N, ST PETERSBURG FL 33702","BR-PLB-25-00053","Residential plumbing","Awaiting plans","Ashley Fischer","LmDNEMdLE1jwpKVtU3NQcJ","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LmDNEMdLE1jwpKVtU3NQcJ"
"6443 26TH WAY N, ST PETERSBURG FL 33702","EBP-25-02988","Express building permit","Issued","Toebaas","LK6wzjrvGJVjex45bXyMTD","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LK6wzjrvGJVjex45bXyMTD"
"6485 31ST ST N, ST PETERSBURG FL 33702","BR-SFR-24-00209.001","Residential revision-supplement","Closed - supp-rev approved","Revision Request (BR-SFR-24-00209)","Y1TS4rBUY5Cg2SasK1o3g7","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y1TS4rBUY5Cg2SasK1o3g7"
"6563 28TH ST N, ST PETERSBURG FL 33702","EBP-25-02793","Express building permit","Issued","Brad Graham - Florida Real Estate Mgt. Invest.","Y3fdGQw6kXnEKTXAjFCwnm","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y3fdGQw6kXnEKTXAjFCwnm"
"6599 31ST ST N, ST PETERSBURG FL 33702","25TMP-011454","Express building permit","N/a","New Meter Main","HkkxEbhCBTqU1VGnV5R7JC","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/HkkxEbhCBTqU1VGnV5R7JC"
"6599 31ST ST N, ST PETERSBURG FL 33702","BR-ELE-25-00132","Residential electrical","Closed - withdrawn","Meter Main","RZByHuuGmDFXbtyNizH2Gt","https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RZByHuuGmDFXbtyNizH2Gt"
